"walk ","WEEK","GAME","TEAM 1 RANK","DIVISON","Away Team","TEAM 1 SCORE","Home Team","TEAM 2","DIVISON","TEAM 2 RANK","MOTW RANKING","GAME #","WINNER","OPPOSING TEAM","BLOWOUT","SCORE GAP","COMBINED SCORE","MOTW","TEAM WITH HIGHEST SCORE","UPSET","Week","","","","","","","","","","","","LOW SCORE GAP RANK","HIGH SCORE GAP RANK","LOW COMBINED SCORE RANK","HIGH COMBINED SCORE RANK","GAME QUALITY","BEST GAME QUALITY RANK","WORST GAME QUALITY RANK","","MOTW BEST GAME QUALITY RANK","MOTW RANKING","UPSET MOTW RANK","UPSET RANK","","","Top 5 Greatest 2025 MOTW Regular Season Games - PVE FFL","","","","","","","","","","","Rank","Team Name","Overall Wins","Overall Losses","Overall Win %","Division Name","Divisional Wins","Divisonal Losses","Divisional Win %","MOTW Wins","MOTW Losses","MOTW Win %","MOTW GAMES PLAY","MOTW RANK","UPSETS","","BLOWOUTS","AWAY Wins","AWAY Losses","Away Win %","HOME Wins","HOME Losses","HOME Win %","","Schedule Competivness","SOS L","SOS R",""
"31","WEEK 7","GAME 1","10","ESTEEMED","EAGLES","153.49","131.61","YARDIES","ESTEEMED","3","21.95","5","EAGLES","YARDIES","","21.88","285.10","","","UPSET","7","1","0","","","","","","","","","","18","53","14","57","37.5","40","31","-","UPCOMING","66.00","21.95","2.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","WEEK 7","GAME 2","7","ESTEEMED","CHAMPS","169.29","139.80","METAMOOKDAWGS","ESTEEMED","8","9.71","2","CHAMPS","METAMOOKDAWGS","","29.49","309.09","","","","7","1","0","","","","","","","","","","29","42","29","42","35.5","38","33","-","UPCOMING","19.00","NO UPSET","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","WEEK 7","GAME 3","9","PRODIGY","KINGS","206.24","156.92","POPEYES","PRODIGY","2","20.95","4","KINGS","POPEYES","YES","49.32","363.16","","","UPSET","7","1","0","","","","","","","","","","53","18","57","14","33.5","32","39","-","UPCOMING","64.00","20.95","4.00","","","","","","Week","Winner","Opposing Team","Game Ref #","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","WEEK 7","GAME 4","5","PRODIGY","DECOUPES","215.41","173.25","MUTTS","ESTEEMED","1","11.83","3","DECOUPES","MUTTS","YES","42.16","388.66","","","UPSET","7","1","0","","","","","","","","","","46","25","67","4","25.0","16","55","-","UPCOMING","32.00","11.83","17.00","","","1","422.51","2025","WEEK 12","DECOUPES","METAMOOKDAWGS","2025 REG, PVE FFL GAME 58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","WEEK 7","GAME 5","6","PRODIGY","SAVAGES","163.44","216.60","GREEN","PRODIGY","4","9.41","1","GREEN","SAVAGES","YES","53.16","380.04","MOTW","","","7","0","0","","","","","","","","","","54","17","63","8","31.0","26","45","31","8","17.00","NO UPSET","-","","","2","398.07","2025","WEEK 3","METAMOOKDAWGS","KINGS","2025 REG, PVE FFL GAME 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","WEEK 8","GAME 1","7","PRODIGY","SAVAGES","123.41","165.17","KINGS","PRODIGY","8","9.71","3","KINGS","SAVAGES","YES","41.76","288.58","","","UPSET","8","0","0","","","","","","","","","","44","27","16","55","49.5","59","12","-","UPCOMING","20.00","9.71","24.00","","","3","389.11","2025","WEEK 2","MUTTS","CHAMPS","2025 REG, PVE FFL GAME 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","WEEK 8","GAME 2","2","PRODIGY","GREEN","183.51","160.86","DECOUPES","PRODIGY","4","7.41","1","GREEN","DECOUPES","","22.65","344.37","MOTW","","","8","1","0","","","","","","","","","","19","52","50","21","20.0","10","61","20","5","9.00","NO UPSET","-","","","4","388.66","2025","WEEK 7","DECOUPES","MUTTS","2025 REG, PVE FFL GAME 34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","WEEK 8","GAME 3","5","ESTEEMED","YARDIES","204.31","175.97","CHAMPS","ESTEEMED","6","7.71","2","YARDIES","CHAMPS","","28.34","380.28","","","","8","1","0","","","","","","","","","","26","45","65","6","16.0","6","65","-","UPCOMING","11.00","NO UPSET","-","","","5","381.93","2025","WEEK 3","POPEYES","MUTTS","2025 REG, PVE FFL GAME 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","WEEK 8","GAME 4","10","ESTEEMED","METAMOOKDAWGS","171.25","131.89","MUTTS","ESTEEMED","1","25.36","5","METAMOOKDAWGS","MUTTS","","39.36","303.14","","","UPSET","8","1","0","","","","","","","","","","41","30","24","47","44.0","50","21","-","UPCOMING","69.00","25.36","1.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","WEEK 8","GAME 5","9","ESTEEMED","EAGLES","169.16","114.52","POPEYES","PRODIGY","3","19.24","4","EAGLES","POPEYES","YES","54.64","283.68","","","UPSET","8","1","0","","","","","","","","","","55","16","13","58","56.5","67","4","-","UPCOMING","61.00","19.24","6.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","WEEK 9","GAME 1","4","PRODIGY","POPEYES","162.87","175.49","GREEN","PRODIGY","1","9.12","1","GREEN","POPEYES","","12.62","338.36","MOTW","","","9","0","0","","","","","","","","","","12","59","46","25","18.5","8","63","18.5","4","16.00","NO UPSET","-","","","","","","Week","Winner","Opposing Team","Game Ref #","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","WEEK 9","GAME 2","5","PRODIGY","DECOUPES","131.48","192.42","SAVAGES","PRODIGY","10","18.54","5","SAVAGES","DECOUPES","YES","60.94","323.90","","","UPSET","9","0","0","","","","","","","","","","59","12","37","34","46.5","54","17","-","UPCOMING","60.00","18.54","7.00","","","1","246.85","2025","WEEK 13","KINGS","POPEYES","2025 REG, PVE FFL GAME 61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","WEEK 9","GAME 3","7","ESTEEMED","EAGLES","109.13","150.66","METAMOOKDAWGS","ESTEEMED","9","12.41","3","METAMOOKDAWGS","EAGLES","YES","41.53","259.79","","","UPSET","9","0","0","","","","","","","","","","43","28","4","67","55.0","63","8","-","UPCOMING","39.00","12.41","16.00","","","2","252.08","2025","WEEK 6","DECOUPES","POPEYES","2025 REG, PVE FFL GAME 28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","WEEK 9","GAME 4","2","ESTEEMED","MUTTS","140.08","203.60","CHAMPS","ESTEEMED","8","18.24","4","CHAMPS","MUTTS","YES","63.52","343.68","","","UPSET","9","0","0","","","","","","","","","","64","7","49","22","43.0","47","24","-","UPCOMING","59.00","18.24","8.00","","","3","254.86","2025","WEEK 14","GREEN","KINGS","2025 REG, PVE FFL GAME 66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","WEEK 9","GAME 5","3","ESTEEMED","YARDIES","166.25","142.60","KINGS","PRODIGY","6","11.12","2","YARDIES","KINGS","","23.65","308.85","","","","9","1","0","","","","","","","","","","20","51","28","43","31.5","28","43","-","UPCOMING","24.00","NO UPSET","-","","","4","259.79","2025","WEEK 9","METAMOOKDAWGS","EAGLES","2025 REG, PVE FFL GAME 43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","WEEK 10","GAME 1","9","PRODIGY","KINGS","105.98","167.97","CHAMPS","ESTEEMED","5","15.83","2","CHAMPS","KINGS","YES","61.99","273.95","","","","10","0","0","","","","","","","","","","61","10","8","63","62.0","69","2","-","UPCOMING","48.00","NO UPSET","-","","","5","266.02","2025","WEEK 13","CHAMPS","METAMOOKDAWGS","2025 REG, PVE FFL GAME 65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","WEEK 10","GAME 2","4","PRODIGY","POPEYES","202.13","177.99","YARDIES","ESTEEMED","2","7.41","1","POPEYES","YARDIES","","24.14","380.12","MOTW","","UPSET","10","1","1","","","","","","","","","","22","49","64","7","14.5","4","67","14.5","2","8.00","7.41","27.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","WEEK 10","GAME 3","6","PRODIGY","DECOUPES","160.58","151.36","EAGLES","ESTEEMED","10","16.83","4","DECOUPES","EAGLES","","9.22","311.94","","","","10","1","0","","","","","","","","","","6","65","31","40","23.0","13","58","-","UPCOMING","52.00","NO UPSET","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","WEEK 10","GAME 4","1","PRODIGY","GREEN","203.56","165.52","METAMOOKDAWGS","ESTEEMED","7","17.24","5","GREEN","METAMOOKDAWGS","","38.04","369.08","","","","10","1","0","","","","","","","","","","40","31","59","12","26.0","20","51","-","UPCOMING","55.00","NO UPSET","-","","","","","","Week","Winner","Opposing Team","Game Ref #","","","MOTW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","WEEK 10","GAME 5","8","PRODIGY","SAVAGES","156.44","156.64","MUTTS","ESTEEMED","3","16.54","3","MUTTS","SAVAGES","","0.20","313.08","","","","10","0","0","","","","","","","","","","1","70","33","38","19.5","9","62","-","UPCOMING","49.00","NO UPSET","-","","","1","62.50","2025","WEEK 14","GREEN","KINGS","2025 REG, PVE FFL GAME 66","58.72","254.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","WEEK 11","GAME 1","10","ESTEEMED","EAGLES","216.31","149.76","KINGS","PRODIGY","9","11.71","1","EAGLES","KINGS","YES","66.55","366.07","MOTW","","UPSET","11","1","0","","","","","","","","","","65","6","58","13","39.0","44","27","39","12","29.00","11.71","19.00","","","2","62.00","2025","WEEK 10","CHAMPS","KINGS","2025 REG, PVE FFL GAME 46","61.99","273.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
