"OVERALL STATS","","","","","","","","","","","","","","","","","","","","","","","","","","","","TYPE","Position","Stat Type","Row","Place","Team","Points","","RANK","TEAM","POINTS","POSITION","ACHIEVEMENT","DIV/LEAGUE","BONUS"
"MOST DIVISIONAL SWEEPS","BEST","3","5","1","9","3","5","9","1","5","5","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","2","2","-","2","","","","","","","",""
"MOST DIVISIONAL SWEEPS - P","BEST","2","4","1","5","2","","","","","","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","3","2","-","2","","","","","","","",""
"MOST DIVISIONAL SWEEPS - E","BEST","","","","","","2","5","1","2","2","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","1","3","MUTTS","1","","","","","","","",""
"BEST CROSS DIVISIONAL RECORD","BEST","3","2","1","5","10","6","6","3","6","6","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","2","3","-","1","","","","","","","",""
"BEST CROSS DIVISIONAL RECORD - P","BEST","3","2","1","4","5","","","","","","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","3","3","-","1","","","","","","","",""
"BEST CROSS DIVISIONAL RECORD - E","BEST","","","","","","2","2","1","2","2","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","1","1","YARDIES","2","","","","","","","",""
"LONGEST WIN STREAK","BEST","","2","1","6","6","6","6","6","4","4","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","2","1","-","2","","","","","","","",""
"LONGEST WIN STREAK - P","BEST","2","2","1","4","4","","","","","","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","3","1","-","2","","","","","","","",""
"LONGEST WIN STREAK - E","BEST","","","","","","3","3","3","1","1","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","1","2","DECOUPES","1","","","","","","","",""
"BEST HOME RECORD","BEST","2","5","1","5","5","2","10","5","2","5","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","2","2","-","1","","","","","","","",""
"BEST HOME RECORD - P","BEST","2","3","1","3","3","","","","","","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","3","2","-","1","","","","","","","",""
"BEST HOME RECORD - E","BEST","","","","","","1","5","3","1","3","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","1","3","SAVAGES","0.5","","","","","","","",""
"BEST AWAY RECORD","BEST","3","4","1","8","8","8","5","1","5","5","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","2","3","-","0.5","","","","","","","",""
"BEST HOME RECORD - P","BEST","2","3","1","4","4","","","","","","","","","","","","","","","","","","","","","","POSITION","TE","HIGHEST SCORE","3","3","-","0.5","","","","","","","",""
"BEST HOME RECORD - E","BEST","","","","","","5","2","1","2","2","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","1","1","GREEN","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","2","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","3","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","1","2","EAGLES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","2","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","3","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","1","3","YARDIES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","2","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","AVERAGE","3","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","1","1","YARDIES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","1","2","EAGLES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","2","2","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","3","2","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","1","3","GREEN","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","2","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","FLEX","HIGHEST SCORE","3","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","1","1","EAGLES","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","2","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","3","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","1","2","YARDIES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","2","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","3","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","1","3","POPEYES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","2","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","AVERAGE","3","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","1","1","CHAMPS","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","1","2","POPEYES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","2","2","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","3","2","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","1","3","KINGS","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","2","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","D/ST","HIGHEST SCORE","3","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","1","1","MUTTS","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","2","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","3","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","1","2","METAMOOKDAWGS","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","2","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","3","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","1","3","KINGS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","2","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","AVERAGE","3","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","1","1","MUTTS","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","1","2","METAMOOKDAWGS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","2","2","YARDIES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","3","2","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","1","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","2","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","K","HIGHEST SCORE","3","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","1","1","GREEN","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","2","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","3","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","1","2","DECOUPES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","2","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","3","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","1","3","MUTTS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","2","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","AVERAGE","3","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","1","1","YARDIES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","1","2","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","2","2","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","3","2","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","1","3","POPEYES","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","2","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","HC","HIGHEST SCORE","3","3","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","1","1","DECOUPES","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","2","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","3","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","1","2","GREEN","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","2","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","3","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","1","3","CHAMPS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","2","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MVP","HIGHEST SCORE","3","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","1","1","GREEN","8","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","2","1","-","8","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","3","1","-","8","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","1","2","CHAMPS","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","2","2","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","3","2","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","1","3","DECOUPES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","2","3","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","AVERAGE","3","3","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","1","1","DECOUPES","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","2","1","-","6","","","","","","","",""
