 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECOUPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB,J. TAYLOR,14.6,J. TAYLOR,33,J. TAYLOR,35.5,J. TAYLOR,16.3,E. DEMERCADO,6.4,J. TAYLOR,26.8,J. TAYLOR,35.8,J. TAYLOR,39.6,J. TAYLOR,9.1,J. TAYLOR,54.8,D. SWIFT,11.1,J. TAYLOR,10.2,J. TAYLOR,17.2,J. TAYLOR,13.5,,
RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,A. BROWN,1.8,A. BROWN,7.7,A. BROWN,23.9,A. BROWN,2.7,A. BROWN,9.3,A. BROWN,14,A. BROWN,29.1,J. WADDLE,20.9,J. WADDLE,14.2,A. BROWN,3.3,A. BROWN,11.9,A. BROWN,26,A. BROWN,36.2,A. BROWN,17,,
WR,J. WADDLE,7,T. MCMILLAN,17,T. MCMILLAN,7.8,T. MCMILLIAN,10.2,T. MCMILLAN,13.3,J. WADDLE,16.02,J. WADDLE,2.5,T. MCMILLAN,16.9,T. MCMILLAN,8.6,J. WADDLE,19.4,J. WADDLE,8.2,T. MCMILLAN,11.5,T. MCMILLAN,11.3,J. WADDLE,18.2,,
WR,C. SUTTON,18.1,C. SUTTON,1.6,C. SUTTON,24.8,C. SUTTON,19.1,C. SUTTON,17.9,C. SUTTON,2.7,C. SUTTON,16.7,C. SUTTON,10.7,C. SUTTON,10,T. FRANKLIN,15,T. FRANKLIN,12.4,M. WILSON,22.8,T. FRANKLIN,4.1,T. FRANKLIN,4.1,,
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,S. LAPORTA,13.9,S. LAPORTA,5.6,S. LAPORTA,7.3,T. WARREN,18.5,T. WARREN,14.2,T. WARREN,18.3,S. LAPORTA,4.5,T. WARREN,9.3,T. WARREN,7.6,T. WARREN,17.9,T. JOHNSON,6.6,T. WARREN,9.5,T. WARREN,11.3,T. WARREN,3.8,,
FLEX,J. WARREN,15,J. WARREN,18.8,J. WARREN,14.9,D. SWIFT,17.4,J. WADDLE,24,D. SWIFT,27.9,T. WARREN,16.9,D. SWIFT,16.2,K. MONANGAI,26.4,D. SWIFT,16.1,T. MCMILLAN,34,D. SWIFT,2.7,D. SWIFT,23.6,D. SWIFT,12.5,,
D/ST,TB D/ST,8.37,TB D/ST,11.88,TB D/ST,27.12,TB D/ST,20.8,CLE D/ST,18.38,CLE D/ST,9.02,ATL D/ST,11.74,ATL D/ST,6.43,NE D/ST,10.15,TB D/ST,1.36,TB D/ST,12.05,NE D/ST,17.3,NE D/ST,29.87,TB D/ST,11.95,,
K,J. MYERS,8,J. MYERS,8,J. MYERS,18,J. MYERS,14,J. MYERS,3.5,J. MYERS,11,J. MYERS,9,M. BADGLEY,9,M. BADGLEY,14,M. BADGLEY,7,A. BORREGALES,8.5,A. BORREGALES,19,A. BORRAGALES,13.5,M. PRATER,7,,
HC,TB HC,8.9,TB HC,8,TB HC,10.7,LAR HC,11.1,LAR HC,4.9,LAR HC,9.1,LAR HC,22.5,TB HC,14.9,LAR HC,18.2,LAR HC,18.6,LAR HC,8.3,LAR HC,22.2,LAR HC,6.4,LAR HC,25.5,,
Total Score,132.31,,136.5,,204.24,,194.64,,167.16,,191,,216.6,,183.51,,175.49,,203.56,,164.25,,189.22,,202.79,,156.79,,0,
MVP,B. ROBINSON,26.6,J. TAYLOR,33,J. TAYLOR,35.5,B. NIX,33.74,J. TAYLOR,33.3,B. ROBINSON,38.7,B. NIX,45.26,J. TAYLOR,39.6,M. STAFFORD,38.44,J. TAYLOR,54.8,T. MCMILLAN,34,M. STAFFORD,31.92,A. BROWN,36.2,M. STAFFORD,31.84,#NUM!,#NUM!
#2,C. SUTTON,18.10,B. ROBINSON,23.00,TB D/ST,27.12,B. ROBINSON,30.80,J. WADDLE,24.00,D. SWIFT,27.90,J. TAYLOR,35.80,B. NIX,32.88,K. MONANGAI,26.40,M. STAFFORD,37.60,B. ROBINSON,33.60,A. BROWN,26.00,B. ROBINSON,33.60,LAR HC,25.50,,
#3,J. WARREN,15.00,J. WARREN,18.80,C. SUTTON,24.80,TB D/ST,20.80,B. NIX,21.98,J. TAYLOR,26.80,A. BROWN,29.10,J. WADDLE,20.90,B. ROBINSON,18.80,J. WADDLE,19.40,M. STAFFORD,17.60,M. WILSON,22.80,NE D/ST,29.87,J. WADDLE,18.20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVAGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,,Week 6,,Week 7,,Week 8,,Week 9,,Week 10,,Week 11,,Week 12,,Week 13,,Week 14,,Finale,
Team Rank,2,,10,,6,,6,,6,,7,,6,,7,,10,,8,,8,,9,,10,,10,,,
QB,K. MURRAY,25.62,K. MURRAY,17.7,J. GOFF,17.48,J. GOFF,16.92,J. GOFF,29.32,J. GOFF,24.32,J. GOFF,13.94,A. RODGERS,23.16,A. RODGERS,17.32,J. GOFF,35.2,A. RODGERS,12.14,J. GOFF,23.16,J. GOFF,27.54,J. GOFF,22.56,,
RB,A. JEANTY,13.9,A. JEANTY,8.5,T. ETIENNE JR,13.2,T. ETIENNE JR.,22.4,T. ETIENNE JR,10,T. ETIENNE JR,10.7,A. JEANTY,5,J.K. DOBBINS,16.6,T. ETIENNE,18.7,A. JEANTY,17.2,A. JEANTY,10,A. JEANTY,26.5,A. JEANTY,13.6,A. JEANTY,6.8,,
RB,T. TRACY JR,6.5,T. ETIENNE JR,18.3,J. DOBBINS,16.4,J. DOBBINS,14.1,J. DOBBINS,17.4,J. DOBBINS,5.4,T. ETIENNE JR.,7.3,T. ALLGEIER,9.8,J.K. DOBBINS,8.4,J. DOBBINS,11.2,T. ETIENNE,21.2,T. ETIENNE,22.1,T. ETIENNE,6.3,T. ETIENNE,23.2,,
RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,J. CHASE,4.6,J. CHASE,37.5,J. CHASE,9,J. CHASE,7.3,J. CHASE,30,J. CHASE,25.2,J. CHASE,39.1,J. CHASE,21.1,J. CHASE,18.1,D. LONDON,25.4,J. CHASE,6,J. CHASE,0,J. CHASE,19,J. CHASE,10.3,,
WR,D. LONDON,13.5,T. HIGGINS,14.6,D. LONDON,10.5,Q. JOHNSTON,23.8,Q. JOHNSTON,7,D. LONDON,32.8,D. LONDON,8.2,D. LONDON,0,D. LONDON,39.8,Q. JOHNSTON,9.2,D. LONDON,19.9,T. HIGGINS,8.1,T. HIGGINS,0,T. HIGGINS,27.2,,
WR,T. HIGGINS,6.3,K. ALLEN,17.1,K. ALLEN,19.5,K. ALLEN,8.7,K. ALLEN,10.8,K. ALLEN,6.7,K. ALLEN,29.9,K. ALLEN,8.4,K. ALLEN,6.1,K. ALLEN,3.9,T. HIGGINS,15.3,D. MOONEY,16.4,D. MOONEY,4.5,K. ALLEN,5.2,,
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,T. MCBRIDE,12.1,T. MCBRIDE,13.8,T. MCBRIDE,15.3,T. MCBRIDE,12.2,T. MCBRIDE,9.1,T. MCBRIDE,21.2,T. MCBRIDE,29.4,D. GOEDERT,17.8,T. MCBRIDE,16.5,T. MCBRIDE,28.7,T. MCBRIDE,28.5,T. MCBRIDE,16.9,T. MCBRIDE,22.2,T. MCBRIDE,10.8,,
FLEX,M. GOLDEN,4.15,D. LONDON,5.9,Q. JOHNSTON,14.9,D. LONDON,26,A. JEANTY,17.3,A. JEANTY,18.9,D. GODERT,4.8,T. HIGGINS,11.4,A. JEANTY,21.2,T. ETIENNE,17.3,Q. JOHNSTON,0,D. GOEDERT,4,D. GOEDERT,4.7,D. GOEDERT,15.8,,
D/ST,DET D/ST,8.32,DET D/ST,17.92,DET D/ST,21.5,DET D/ST,36.13,DET D/T,24.23,DET D/ST,10,DET D/ST,23.7,MIN D/ST,4.75,DET D/ST,23.7,DET D/ST,8.24,DET D/ST,8.34,DET D/ST,4.15,DET D/ST,2.73,MIN D/ST,22.39,,
K,M. PRATER,12,C. LITTLE,10,C. LITTLE,3.5,C. LITTLE,7.5,C. LITTLE,10,C. LITTLE,-1,E. PINEIRO,12,E. PINEIRO,1,E. PINEIRO,13,E. PINEIRO,2,E. PINEIRO,14,C. MCLAUGHLIN,1,C. MCLAUGHLIN,11,C. MCLAUGHLIN,9,,
HC,BAL HC,10,BAL HC,20.3,BAL HC,6,BAL HC,0,BAL HC,-9,JAX HC,0.6,JAX HC,-9.9,CIN HC,9.4,CIN HC,9.6,CAR HC,-1.9,CIN HC,-4.4,SF HC,10,SF HC,13.8,SF HC,0,,
Total Score,116.99,,181.62,,147.28,,175.05,,156.15,,154.82,,163.44,,123.41,,192.42,,156.44,,130.98,,132.31,,125.37,,153.25,,0,
MVP,K. MURRAY,25.62,J. CHASE,37.5,DET D/ST,21.5,DET D/ST,36.13,J. CHASE,30,D. LONDON,32.8,J. CHASE,39.1,A. RODGERS,23.16,D. LONDON,39.8,J. GOFF,35.2,T. MCBRIDE,28.5,A. JEANTY,26.5,J. GOFF,27.54,T. HIGGINS,27.2,#NUM!,#NUM!
#2,A. JEANTY,13.90,BAL HC,20.30,K. ALLEN,19.50,D. LONDON,26.00,J. GOFF,29.32,J. CHASE,25.20,K. ALLEN,29.90,J. CHASE,21.10,DET D/ST,23.70,T. MCBRIDE,28.70,T. ETIENNE,21.20,J. GOFF,23.16,T. MCBRIDE,22.20,T. ETIENNE,23.20,,
#3,D. LONDON,13.50,T. ETIENNE JR,18.30,J. GOFF,17.48,Q. JOHNSTON,23.80,DET D/T,24.23,J. GOFF,24.32,T. MCBRIDE,29.40,D. GOEDERT,17.80,A. JEANTY,21.20,D. LONDON,25.40,D. LONDON,19.90,T. ETIENNE,22.10,J. CHASE,19.00,J. GOFF,22.56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,,Week 6,,Week 7,,Week 8,,Week 9,,Week 10,,Week 11,,Week 12,,Week 13,,Week 14,,Finale,
