"Full Name","Acronym","Division","Team Color","","List of Divisions","","Full Schedule","","Away ","Home ","","","","","Number of  Teams","","YEAR","","","","","","","","","","","","","","","","","","","","","","P1","P2","P3","P4","P5","E1","E2","E3","E4","E5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 8","GAME 4","METAMOOKDAWGS","MUTTS","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","E4","E3","METAMOOKDAWGS","MUTTS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 8","GAME 5","EAGLES","POPEYES","","","","","","","","","","","","","","","","","P1","E5","P2","E1","P3","E2","P4","E4","P5","E3","","","","","","","","","","","","","","","E2","P2","EAGLES","POPEYES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 9","GAME 1","POPEYES","GREEN","","","","","","","","","","","","","","","","","WEEK 11","","","","","","","","","","","","","","","","","","","","","","","WEEK 9","P2","P4","POPEYES","GREEN","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 9","GAME 2","DECOUPES","SAVAGES","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","P3","P5","DECOUPES","SAVAGES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 9","GAME 3","EAGLES","METAMOOKDAWGS","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","E2","E4","EAGLES","METAMOOKDAWGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 9","GAME 4","MUTTS","CHAMPS","","","","","","","","","","","","","","","","","E2","P1","E4","P2","E3","P3","E5","P4","E1","P5","","","","","","","","","","","","","","","E3","E5","MUTTS","CHAMPS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 9","GAME 5","YARDIES","KINGS","","","","","","","","","","","","","","","","","WEEK 12","","","","","","","","","","","","","","","","","","","","","","","","E1","P1","YARDIES","KINGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 10","GAME 1","KINGS","CHAMPS","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","WEEK 10","P1","E5","KINGS","CHAMPS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 10","GAME 2","POPEYES","YARDIES","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","P2","E1","POPEYES","YARDIES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 10","GAME 3","DECOUPES","EAGLES","","","","","","","","","","","","","","","","","P1","P5","P4","P2","P3","E4","E5","E1","E2","E3","","","","","","","","","","","","","","","P3","E2","DECOUPES","EAGLES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 10","GAME 4","GREEN","METAMOOKDAWGS","","","","","","","","","","","","","","","","","WEEK 13","","","","","","","","","","","","","","","","","","","","","","","","P4","E4","GREEN","METAMOOKDAWGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 10","GAME 5","SAVAGES","MUTTS","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","P5","E3","SAVAGES","MUTTS","","","","","","","","","","","","","","","","",""
